10 0.000000 0.000000 0.000000
21 0.000000 0.000000 0.000000
42 0.000000 0.000000 0.000000
44 0.000000 0.000000 0.000000
66 0.000000 0.000000 0.000000
92 0.000000 0.000000 0.000000
125 0.000000 0.000000 0.000000
136 0.010000 0.000000 0.000000
232 0.010000 0.000000 0.000000
347 0.030000 0.000000 0.010000
459 0.080000 0.010000 0.010000
498 0.080000 0.010000 0.010000
597 0.150000 0.020000 0.010000
716 0.240000 0.010000 0.020000
1256 1.060000 0.050000 0.060000
2117 3.480000 0.090000 0.100000
3389 11.840000 0.210000 0.230000
3864 27.820000 0.350000 0.390000
5528 54.270000 0.550000 0.640000
6373 101.389999 0.930000 1.050000
